rank,entity_hash,assembly_index,copy_count,entity_size,score
1,811ae6162ebbc79ca8e59b357fb1ea799dca6a73bbe4f5d61d94b96ee7d20659,1,108352,2,108352
2,d08a3f28294d49a6bf416bac6816eeb6626aa6674c27a6a6ea68c0644b13b4e6,1,86110,2,86110
3,aff7412f327f210d1add061ed84d4bfdc87c05b9e0bab83a953fd0ca323209bd,1,72478,2,72478
4,50725b5b390a1707b870e7812a91fa6ee64044a80daab5e2f8f4de17cc9000b0,1,42915,2,42915
5,0eb11429f24dd49c77a58db180b5703c8e5bad885258faf227a232554631e8c9,1,28753,2,28753
6,655579d5f5d936774a00e9cf7930c6cac01b93a891961e34e3b3c2353a75e5bb,1,11674,2,11674
7,a8c9236d4dc0933e33a2f58e6381862b0b167ab2af2a98fd12773cdaa088c121,2,4661,3,9322
8,47ac20df7a03b9daccea9d3c5ef8c8aae89aa6666281d7cee06982725e0dd2a9,2,3970,3,7940
9,7b7a5237cc6c86220494f98b9eeedbe611210851e2ac2d5e81709be2d056d96d,2,2985,3,5970
10,ec56d49e334dc366a27f99486c7791795351d61d1aae5ee3f3fea1932fdd5240,2,2667,3,5334
